potential_fn,dimension,repeat,method,ESS,runtime_sec,ESS_per_sec,JS_distance,quality,budget,ablation,alphas
banana,20,0,flowMC-single,1944.1264099121092,15.442668437957764,125.89316527275082,0.1739290865608817,723.8189296686928,equal_per_member,{},
banana,20,0,flowMC-ensemble(M=5)-equal_per_member,9864.803857421875,77.6320972442627,127.0712013148778,0.1359689956152542,934.5601233566944,equal_per_member,{},"[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,20,1,flowMC-single,1939.6396606445312,15.426019668579102,125.73818148276692,0.1643937982096444,764.8596410091967,equal_per_member,{},
banana,20,1,flowMC-ensemble(M=5)-equal_per_member,9834.602392578125,84.6505708694458,116.17880767450175,0.1355744421335842,856.9373832276472,equal_per_member,{},"[0.199985911714913, 0.199985911714913, 0.199985911714913, 0.199985911714913, 0.20005635314034792]"
banana,20,2,flowMC-single,1931.7515991210937,15.492839336395264,124.68673799405424,0.1631549198725842,764.2229734256762,equal_per_member,{},
banana,20,2,flowMC-ensemble(M=5)-equal_per_member,9775.57060546875,77.57949662208557,126.00714146275874,0.137675270420942,915.2489120049808,equal_per_member,{},"[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,20,3,flowMC-single,1957.6148071289065,15.474830627441406,126.5031491625816,0.1710700289063564,739.4816612314324,equal_per_member,{},
banana,20,3,flowMC-ensemble(M=5)-equal_per_member,9895.65341796875,77.82653045654297,127.15012939571189,0.1446604287694409,878.9558449212336,equal_per_member,{},"[0.16244480697029257, 0.16244480697029257, 0.16244480697029257, 0.16244480697029257, 0.3502207721188296]"
banana,20,4,flowMC-single,1937.0123168945315,15.57473921775818,124.3688443069382,0.1701547380746888,730.9161397101204,equal_per_member,{},
banana,20,4,flowMC-ensemble(M=5)-equal_per_member,9753.070263671874,77.87527179718018,125.23963048338317,0.1369782761551134,914.3028661096778,equal_per_member,{},"[0.19999999999999993, 0.19999999999999993, 0.19999999999999993, 0.20000000000000043, 0.19999999999999993]"
bimodal_gaussian,20,0,flowMC-single,1943.3724182128904,15.800338745117188,122.99561734481516,0.0842132048230385,1460.526500603701,equal_per_member,{},
bimodal_gaussian,20,0,flowMC-ensemble(M=5)-equal_per_member,9805.74970703125,79.18218755722046,123.83782274195434,0.0617544123296639,2005.327523495328,equal_per_member,{},"[0.3144780382562358, 0.24956427896866165, 0.17357941929370382, 0.1349955696559088, 0.12738269382549]"
bimodal_gaussian,20,1,flowMC-single,1948.4528381347657,15.918142080307009,122.40453868955456,0.0847391745257728,1444.4858517275975,equal_per_member,{},
bimodal_gaussian,20,1,flowMC-ensemble(M=5)-equal_per_member,9905.2650390625,86.4954206943512,114.51779712205492,0.0618248992590995,1852.292498563189,equal_per_member,{},"[0.34003714866277046, 0.22759168263678173, 0.13254214689115662, 0.1486160873998826, 0.15121293440940858]"
bimodal_gaussian,20,2,flowMC-single,1914.2709838867188,15.91218328475952,120.30222060854354,0.0878386610494678,1369.5816758954604,equal_per_member,{},
bimodal_gaussian,20,2,flowMC-ensemble(M=5)-equal_per_member,9839.071142578125,79.49385118484497,123.77147409426158,0.0614418738116384,2014.448232384745,equal_per_member,{},"[0.25466072820129304, 0.22195240892945436, 0.2688148509860896, 0.145960416113091, 0.10861159577007212]"
bimodal_gaussian,20,3,flowMC-single,1948.9527526855468,15.705031871795654,124.0973446342144,0.0891513847926845,1391.9844870923123,equal_per_member,{},
bimodal_gaussian,20,3,flowMC-ensemble(M=5)-equal_per_member,9873.32578125,79.23355627059937,124.61040808935172,0.0618661097045601,2014.194987925136,equal_per_member,{},"[0.24101016829028785, 0.23349576738782216, 0.2730478202076257, 0.14251829014669154, 0.10992795396757275]"
bimodal_gaussian,20,4,flowMC-single,1956.2635803222656,15.766120910644531,124.08020916555893,0.0878741586435413,1412.0215895196934,equal_per_member,{},
bimodal_gaussian,20,4,flowMC-ensemble(M=5)-equal_per_member,9903.549462890624,79.25141286849976,124.96369596998078,0.0600980821043483,2079.329183134434,equal_per_member,{},"[0.18684882817130977, 0.29903780927940243, 0.2346722927528261, 0.1747401390922316, 0.10470093070422999]"
funnel,20,0,flowMC-single,1918.0382507324216,15.90432333946228,120.59854479777384,0.0878162267851773,1373.3059277619743,equal_per_member,{},
funnel,20,0,flowMC-ensemble(M=5)-equal_per_member,9821.99931640625,79.7477810382843,123.16329292837663,0.075466624183039,1632.0233515368675,equal_per_member,{},"[0.2592595074881702, 0.2788765356416127, 0.18374369793308395, 0.17382478317787947, 0.10429547575925363]"
funnel,20,1,flowMC-single,1900.9036254882808,15.96499729156494,119.06695571396168,0.0853060254211424,1395.7625516620517,equal_per_member,{},
funnel,20,1,flowMC-ensemble(M=5)-equal_per_member,9789.759375,79.90276193618774,122.52091339243486,0.0747252464283619,1639.6187265825072,equal_per_member,{},"[0.2510772312795797, 0.2755877088242158, 0.2056730910019877, 0.16415949783635772, 0.10350247105785915]"
