potential_fn,dimension,repeat,method,ESS,runtime_sec,ESS_per_sec,JS_distance,quality,budget,ablation,alphas
banana,20,0,flowMC-single,1944.1181274414062,17.82014799118042,109.09663199225913,0.17395044996078657,627.1707375108983,equal_per_member,"{""no_w"": true}",
banana,20,0,flowMC-ensemble(M=5)-equal_per_member,9896.671533203125,113.59247398376465,87.12435944143289,0.13550120057060136,642.9785055375781,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,20,1,flowMC-single,1939.4831787109374,18.032799243927002,107.55308438117876,0.16437847179148254,654.3015226325504,equal_per_member,"{""no_w"": true}",
banana,20,1,flowMC-ensemble(M=5)-equal_per_member,9896.35263671875,91.47116994857788,108.1909484953801,0.1352485539256582,799.9416286169625,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,20,2,flowMC-single,1931.7554504394532,17.53321099281311,110.1769351450389,0.16311944810346185,675.4371500518866,equal_per_member,"{""no_w"": true}",
banana,20,2,flowMC-ensemble(M=5)-equal_per_member,9910.748388671875,90.58140802383423,109.4126113171492,0.13747244539910553,795.8875758666114,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,20,3,flowMC-single,1957.6088806152343,17.194284200668335,113.85230450821226,0.17104565555029164,665.6252340459877,equal_per_member,"{""no_w"": true}",
banana,20,3,flowMC-ensemble(M=5)-equal_per_member,9900.75966796875,88.25528120994568,112.18319778978861,0.13879602467993507,808.2594443787862,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,20,4,flowMC-single,1936.9126708984375,17.12737512588501,113.08870487522255,0.1701119407478974,664.7899281968561,equal_per_member,"{""no_w"": true}",
banana,20,4,flowMC-ensemble(M=5)-equal_per_member,9892.816650390625,88.59566140174866,111.66254073695944,0.137288621605728,813.341553225272,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,20,0,flowMC-single,1943.3731689453125,17.498668909072876,111.05834272558262,0.08413368950750637,1320.0222571443755,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,20,0,flowMC-ensemble(M=5)-equal_per_member,9844.700537109375,91.4744622707367,107.62239309996755,0.06286009889562888,1712.093919525337,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,20,1,flowMC-single,1948.4537292480468,18.390252113342285,105.9503544181663,0.0848526700996131,1248.63901505734,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,20,1,flowMC-ensemble(M=5)-equal_per_member,9881.667333984375,96.97291922569275,101.90130825066727,0.06250866904643781,1630.194816257639,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,20,2,flowMC-single,1914.5144836425782,18.362476587295532,104.26232401391735,0.08775183574401882,1188.1497763540963,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,20,2,flowMC-ensemble(M=5)-equal_per_member,9877.213525390625,92.29343724250793,107.01967355964331,0.06324507651260618,1692.1423683994099,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,20,3,flowMC-single,1948.9531188964843,17.93063998222351,108.69400762207496,0.08920233679955018,1218.510764648747,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,20,3,flowMC-ensemble(M=5)-equal_per_member,9820.511474609375,92.03810787200928,106.70049289003255,0.062102422838070145,1718.1373610535338,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,20,4,flowMC-single,1956.2637023925781,17.636287450790405,110.92264785607723,0.08783842732843003,1262.803208456075,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,20,4,flowMC-ensemble(M=5)-equal_per_member,9865.547802734374,91.73050212860107,107.54926195545538,0.06105782301380995,1761.432960541847,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
funnel,20,0,flowMC-single,1918.0385681152343,17.49558115005493,109.62988606464279,0.08780138750854768,1248.6122278417301,equal_per_member,"{""no_w"": true}",
funnel,20,0,flowMC-ensemble(M=5)-equal_per_member,9817.068115234375,90.01894903182983,109.05557353000371,0.07571535449312246,1440.336299817624,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
funnel,20,1,flowMC-single,1900.9028625488281,17.604939699172974,107.9755395378109,0.08537350437078425,1264.74297070979,equal_per_member,"{""no_w"": true}",
funnel,20,1,flowMC-ensemble(M=5)-equal_per_member,9920.4916015625,90.55685138702393,109.54987336258058,0.07562640772166643,1448.5664024366363,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
funnel,20,2,flowMC-single,1934.9232299804687,17.607041597366333,109.89485197046932,0.08750726571126072,1255.836884825984,equal_per_member,"{""no_w"": true}",
funnel,20,2,flowMC-ensemble(M=5)-equal_per_member,9840.353173828125,90.31385231018066,108.95729638496294,0.07491885808401005,1454.3373880950505,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
funnel,20,3,flowMC-single,1938.9125183105468,17.598511695861816,110.17480067740446,0.08531504388031051,1291.3877279600301,equal_per_member,"{""no_w"": true}",
funnel,20,3,flowMC-ensemble(M=5)-equal_per_member,9796.12177734375,90.03989791870117,108.79756645424969,0.07263307740172574,1497.9066060013133,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
funnel,20,4,flowMC-single,1964.0046447753907,17.634430646896362,111.37329489688135,0.08287097311048423,1343.9361300656817,equal_per_member,"{""no_w"": true}",
funnel,20,4,flowMC-ensemble(M=5)-equal_per_member,9808.763037109375,88.77518439292908,110.48992017515472,0.07631570117288672,1447.8006291896502,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
correlated_gaussian,20,0,flowMC-single,1904.7993103027343,17.687280654907227,107.69316931567202,0.08619353105202202,1249.4344761287703,equal_per_member,"{""no_w"": true}",
correlated_gaussian,20,0,flowMC-ensemble(M=5)-equal_per_member,9879.820068359375,113.67990326881409,86.9091174804836,0.08000400355271836,1086.309604783905,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
correlated_gaussian,20,1,flowMC-single,1953.1134521484375,18.264238119125366,106.93648645016503,0.08616827413883925,1241.019244250649,equal_per_member,"{""no_w"": true}",
correlated_gaussian,20,1,flowMC-ensemble(M=5)-equal_per_member,9905.88974609375,93.31347155570984,106.15712373512707,0.07568291600305191,1402.656363436714,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
correlated_gaussian,20,2,flowMC-single,1924.7692077636718,18.334320545196533,104.98175828326228,0.08679735979755546,1209.5040509079975,equal_per_member,"{""no_w"": true}",
correlated_gaussian,20,2,flowMC-ensemble(M=5)-equal_per_member,9874.79404296875,93.62225699424744,105.47485565932789,0.07896081678120884,1335.7872924692047,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
correlated_gaussian,20,3,flowMC-single,1904.41328125,18.42830204963684,103.3417661660006,0.08773377157314266,1177.9017852873876,equal_per_member,"{""no_w"": true}",
correlated_gaussian,20,3,flowMC-ensemble(M=5)-equal_per_member,9844.494287109375,93.99013161659241,104.73965849167395,0.07535821699315993,1389.890348668691,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
correlated_gaussian,20,4,flowMC-single,1918.8669006347657,18.170473337173462,105.60357262180482,0.08647100707627313,1221.2598903659755,equal_per_member,"{""no_w"": true}",
correlated_gaussian,20,4,flowMC-ensemble(M=5)-equal_per_member,9836.831298828125,96.95862078666687,101.4539111532084,0.07641520005476618,1327.6666302057336,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
rosenbrock,20,0,flowMC-single,1966.780047607422,21.38677477836609,91.96244258376579,0.1301006533573159,706.8561164807901,equal_per_member,"{""no_w"": true}",
rosenbrock,20,0,flowMC-ensemble(M=5)-equal_per_member,9926.32841796875,111.72276592254639,88.84785778442273,0.11374793450655654,781.0942516877215,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
rosenbrock,20,1,flowMC-single,1948.6162353515624,21.272018432617188,91.60467031016087,0.12980915190494682,705.6873029818321,equal_per_member,"{""no_w"": true}",
rosenbrock,20,1,flowMC-ensemble(M=5)-equal_per_member,9913.925537109375,105.54347681999207,93.93214849287092,0.1141052419730955,823.2062512519703,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
rosenbrock,20,2,flowMC-single,1908.3618957519532,21.743849754333496,87.76559428587944,0.12821627806305935,684.5121041706932,equal_per_member,"{""no_w"": true}",
rosenbrock,20,2,flowMC-ensemble(M=5)-equal_per_member,9882.902001953125,104.64972615242004,94.43791556185148,0.11160081450287562,846.2117053762013,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
rosenbrock,20,3,flowMC-single,1966.491766357422,19.47672128677368,100.9662631303778,0.129411589954687,780.1949049983141,equal_per_member,"{""no_w"": true}",
rosenbrock,20,3,flowMC-ensemble(M=5)-equal_per_member,9773.898681640625,110.68213295936584,88.30602031521082,0.10876566088960697,811.8924630526365,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
rosenbrock,20,4,flowMC-single,1955.4071655273438,21.38942837715149,91.4193278589969,0.12722533522397492,718.5622871266714,equal_per_member,"{""no_w"": true}",
rosenbrock,20,4,flowMC-ensemble(M=5)-equal_per_member,9866.828076171874,104.82311820983887,94.12835875021469,0.11402439634812782,825.5106956482492,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
gaussian_ring,20,0,flowMC-single,1919.6030395507812,22.399574995040894,85.69819025476009,0.09759836094305772,878.0699739902333,equal_per_member,"{""no_w"": true}",
gaussian_ring,20,0,flowMC-ensemble(M=5)-equal_per_member,9863.2798828125,111.4756076335907,88.47926548408802,0.07073520168008363,1250.8519574773538,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
gaussian_ring,20,1,flowMC-single,1949.2511962890626,21.399005889892578,91.09073600515971,0.09654708399151943,943.4851083970698,equal_per_member,"{""no_w"": true}",
gaussian_ring,20,1,flowMC-ensemble(M=5)-equal_per_member,9845.638427734375,118.92031931877136,82.79189363209403,0.06949757022159539,1191.2919166541972,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
gaussian_ring,20,2,flowMC-single,1928.7332580566406,23.287163019180298,82.82388268884681,0.09724864184303682,851.6713562182993,equal_per_member,"{""no_w"": true}",
gaussian_ring,20,2,flowMC-ensemble(M=5)-equal_per_member,9844.419189453125,113.53766322135925,86.70619871980195,0.0701413602366236,1236.163633372613,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
gaussian_ring,20,3,flowMC-single,1948.8411071777343,23.278189182281494,83.7196180474863,0.09720410628168162,861.2765576474777,equal_per_member,"{""no_w"": true}",
gaussian_ring,20,3,flowMC-ensemble(M=5)-equal_per_member,9910.673681640625,113.33658981323242,87.44460811792946,0.07017366466520474,1246.1171656792271,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
gaussian_ring,20,4,flowMC-single,1966.2551879882812,23.14119243621826,84.96775580634716,0.09453275197880588,898.8181770630862,equal_per_member,"{""no_w"": true}",
gaussian_ring,20,4,flowMC-ensemble(M=5)-equal_per_member,9756.3134765625,118.26337671279907,82.49649001867728,0.07005002795223832,1177.6796159870948,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,50,0,flowMC-single,1938.6510034179687,23.7964506149292,81.4680741589973,0.1290098136953284,631.4874180920342,equal_per_member,"{""no_w"": true}",
banana,50,0,flowMC-ensemble(M=5)-equal_per_member,9836.5976171875,157.78447437286377,62.34198679106052,0.09211843403741307,676.7590813120084,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,50,1,flowMC-single,1940.4140478515626,22.98987913131714,84.40296866147082,0.12428565961866286,679.1046442561326,equal_per_member,"{""no_w"": true}",
banana,50,1,flowMC-ensemble(M=5)-equal_per_member,9869.6558203125,133.89419317245483,73.71235142065085,0.09272878655335269,794.924145569828,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,50,2,flowMC-single,1953.2076147460937,29.22558879852295,66.83210484521729,0.1227631099544665,544.3989230152745,equal_per_member,"{""no_w"": true}",
banana,50,2,flowMC-ensemble(M=5)-equal_per_member,9851.31021484375,140.53554487228394,70.09835286721545,0.09508967147172465,737.1815653823089,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,50,3,flowMC-single,1912.5784423828125,28.551857471466064,66.98613021216536,0.12742417628104852,525.6940414856583,equal_per_member,"{""no_w"": true}",
banana,50,3,flowMC-ensemble(M=5)-equal_per_member,9867.1369921875,134.31520223617554,73.46254800582768,0.09261445677823683,793.2082156647753,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
banana,50,4,flowMC-single,1934.0560546875,29.316271781921387,65.97210140070348,0.12963482606347554,508.9072389266779,equal_per_member,"{""no_w"": true}",
banana,50,4,flowMC-ensemble(M=5)-equal_per_member,9816.1053515625,134.0354402065277,73.23514837894675,0.09311333060563061,786.5162582264905,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,50,0,flowMC-single,1925.762841796875,22.657625436782837,84.99402760319947,0.0849475312360145,1000.5473539549464,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,50,0,flowMC-ensemble(M=5)-equal_per_member,9865.22345703125,119.2039954662323,82.75916774807969,0.06129830612629744,1350.1052961816733,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,50,1,flowMC-single,1943.1310229492187,22.931283712387085,84.73712363078796,0.08695121888014112,974.5363517858766,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,50,1,flowMC-ensemble(M=5)-equal_per_member,9860.61390625,118.68872261047363,83.07961943959666,0.06178886904853836,1344.5725859512545,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,50,2,flowMC-single,1939.4049047851563,23.75806474685669,81.63143443919392,0.0853663229986027,956.2486888480613,equal_per_member,"{""no_w"": true}",
bimodal_gaussian,50,2,flowMC-ensemble(M=5)-equal_per_member,9894.29478515625,123.5408353805542,80.08926566408543,0.061747187505284025,1297.0512326125263,equal_per_member,"{""no_w"": true}","[0.2, 0.2, 0.2, 0.2, 0.2]"
bimodal_gaussian,50,3,flowMC-single,1948.0010400390624,22.888782024383545,85.10723890698274,0.08839682316036993,962.7861710887596,equal_per_member,"{""no_w"": true}",
