potential_fn,dimension,repeat,method,ESS,runtime_sec,JS_distance,n_particles
banana,20,0,homogeneous_ensemble@5x2000,9777.113818359376,66.86636090278625,0.13858355348968016,10000
banana,20,1,homogeneous_ensemble@5x2000,9913.115283203126,62.125768184661865,0.1358009757928357,10000
banana,20,2,homogeneous_ensemble@5x2000,9867.206396484375,61.956817865371704,0.13573084461361284,10000
banana,20,3,homogeneous_ensemble@5x2000,9839.0408203125,62.030930280685425,0.13739215544003494,10000
banana,20,4,homogeneous_ensemble@5x2000,9895.85869140625,62.267088890075684,0.1355324564853407,10000
bimodal_gaussian,20,0,homogeneous_ensemble@5x2000,9857.984814453124,63.35598945617676,0.06057451801646052,10000
bimodal_gaussian,20,1,homogeneous_ensemble@5x2000,9840.086279296875,63.21947956085205,0.06077816794576524,10000
bimodal_gaussian,20,2,homogeneous_ensemble@5x2000,9831.573291015626,61.536190032958984,0.06151888596121448,10000
bimodal_gaussian,20,3,homogeneous_ensemble@5x2000,9865.791552734376,63.33914804458618,0.061418134974940794,10000
bimodal_gaussian,20,4,homogeneous_ensemble@5x2000,9900.19052734375,63.559860944747925,0.0622600898716726,10000
funnel,20,0,homogeneous_ensemble@5x2000,9936.181494140625,63.38037967681885,0.0737994240536254,10000
funnel,20,1,homogeneous_ensemble@5x2000,9851.934375,61.21293830871582,0.0744873015688188,10000
funnel,20,2,homogeneous_ensemble@5x2000,9903.121044921874,63.4904351234436,0.0746882742460942,10000
funnel,20,3,homogeneous_ensemble@5x2000,9917.49599609375,61.078076124191284,0.07393429745291749,10000
funnel,20,4,homogeneous_ensemble@5x2000,9805.565771484375,63.64365792274475,0.07409982317891438,10000
correlated_gaussian,20,0,homogeneous_ensemble@5x2000,9694.624072265626,63.98566222190857,0.07638806530762343,10000
correlated_gaussian,20,1,homogeneous_ensemble@5x2000,9815.04873046875,61.36016798019409,0.07682196918519536,10000
correlated_gaussian,20,2,homogeneous_ensemble@5x2000,9841.555517578125,64.07205176353455,0.07662270622960562,10000
correlated_gaussian,20,3,homogeneous_ensemble@5x2000,9928.289990234374,61.294936418533325,0.07651548201395778,10000
correlated_gaussian,20,4,homogeneous_ensemble@5x2000,9717.57841796875,64.23549389839172,0.07760211112159622,10000
rosenbrock,20,0,homogeneous_ensemble@5x2000,9857.04892578125,61.60155510902405,0.11615159322068562,10000
rosenbrock,20,1,homogeneous_ensemble@5x2000,9865.156494140625,64.35633111000061,0.11598981316293344,10000
rosenbrock,20,2,homogeneous_ensemble@5x2000,9878.33232421875,61.410425424575806,0.1121334357439588,10000
rosenbrock,20,3,homogeneous_ensemble@5x2000,9927.8861328125,64.84685111045837,0.11668934222695644,10000
rosenbrock,20,4,homogeneous_ensemble@5x2000,9841.879345703124,61.5936119556427,0.11344599789571388,10000
gaussian_ring,20,0,homogeneous_ensemble@5x2000,9813.67294921875,66.11011409759521,0.06925090215728705,10000
gaussian_ring,20,1,homogeneous_ensemble@5x2000,9850.162255859375,62.28923201560974,0.07076804048331582,10000
gaussian_ring,20,2,homogeneous_ensemble@5x2000,9846.99541015625,66.34760785102844,0.07003102117209264,10000
gaussian_ring,20,3,homogeneous_ensemble@5x2000,9876.3083984375,62.413968086242676,0.06932376765508341,10000
gaussian_ring,20,4,homogeneous_ensemble@5x2000,9834.58896484375,62.417333126068115,0.0697624299197354,10000
banana,50,0,homogeneous_ensemble@5x2000,9866.40427734375,82.62102007865906,0.09365589277618361,10000
banana,50,1,homogeneous_ensemble@5x2000,9859.8119140625,74.55360341072083,0.09225210350487205,10000
banana,50,2,homogeneous_ensemble@5x2000,9803.8641796875,75.6574354171753,0.0922384169340798,10000
banana,50,3,homogeneous_ensemble@5x2000,9830.584169921874,79.30523157119751,0.09120982392793922,10000
banana,50,4,homogeneous_ensemble@5x2000,9853.56361328125,74.94530820846558,0.09276038727737843,10000
bimodal_gaussian,50,0,homogeneous_ensemble@5x2000,9856.5544140625,79.6177966594696,0.06166132566485416,10000
bimodal_gaussian,50,1,homogeneous_ensemble@5x2000,9874.93271484375,75.18546772003174,0.06179692398422989,10000
bimodal_gaussian,50,2,homogeneous_ensemble@5x2000,9872.7146484375,75.35320687294006,0.06078947449014598,10000
bimodal_gaussian,50,3,homogeneous_ensemble@5x2000,9869.3234765625,80.33944725990295,0.061538693258872776,10000
bimodal_gaussian,50,4,homogeneous_ensemble@5x2000,9822.89560546875,75.56297826766968,0.061924867194619315,10000
funnel,50,0,homogeneous_ensemble@5x2000,9894.536328125,75.57543182373047,0.07818728168436964,10000
funnel,50,1,homogeneous_ensemble@5x2000,9877.0081640625,80.4819278717041,0.07863336146748306,10000
funnel,50,2,homogeneous_ensemble@5x2000,9791.99111328125,75.6534972190857,0.0786790229118801,10000
funnel,50,3,homogeneous_ensemble@5x2000,9855.20599609375,75.68458318710327,0.07877207324865072,10000
funnel,50,4,homogeneous_ensemble@5x2000,9836.89884765625,75.7917537689209,0.07736362125118394,10000
correlated_gaussian,50,0,homogeneous_ensemble@5x2000,9822.96873046875,81.78193044662476,0.06955928995678805,10000
correlated_gaussian,50,1,homogeneous_ensemble@5x2000,9858.6012109375,76.28868913650513,0.07062124262889828,10000
correlated_gaussian,50,2,homogeneous_ensemble@5x2000,9848.193359375,76.23031687736511,0.07251100067158321,10000
correlated_gaussian,50,3,homogeneous_ensemble@5x2000,9880.75529296875,82.0832028388977,0.06962147376904611,10000
