potential_fn,dimension,repeat,method,ESS,JS_distance,n_particles
banana,20,0,rawpool_uniform,8705.219363403321,0.12443878402477693,10000
banana,20,1,rawpool_uniform,8607.633853912354,0.12694937313206,10000
banana,20,2,rawpool_uniform,8340.071033382415,0.130360080367076,10000
banana,20,3,rawpool_uniform,8816.31564283371,0.13013560866630536,10000
banana,20,4,rawpool_uniform,9217.527618408203,0.12829456861394778,10000
bimodal_gaussian,20,0,rawpool_uniform,9759.674169921875,0.0441093321356848,10000
bimodal_gaussian,20,1,rawpool_uniform,9812.086474609376,0.043777601493202804,10000
bimodal_gaussian,20,2,rawpool_uniform,9831.29072265625,0.043449841446328755,10000
bimodal_gaussian,20,3,rawpool_uniform,9825.8623046875,0.042733700430504284,10000
bimodal_gaussian,20,4,rawpool_uniform,9923.091357421876,0.043481591437002136,10000
funnel,20,0,rawpool_uniform,9789.0658203125,0.04356085186756779,10000
funnel,20,1,rawpool_uniform,9834.9595703125,0.044157694301036124,10000
funnel,20,2,rawpool_uniform,9888.853271484375,0.04328975118135422,10000
funnel,20,3,rawpool_uniform,9774.72314453125,0.043574444099332726,10000
funnel,20,4,rawpool_uniform,9789.076806640625,0.043467300023363784,10000
correlated_gaussian,20,0,rawpool_uniform,9861.897314453125,0.044492451635000096,10000
correlated_gaussian,20,1,rawpool_uniform,9842.1421875,0.043755434771706805,10000
correlated_gaussian,20,2,rawpool_uniform,9899.948876953125,0.04409355612818306,10000
correlated_gaussian,20,3,rawpool_uniform,9850.3005859375,0.04468085384587559,10000
correlated_gaussian,20,4,rawpool_uniform,9820.16337890625,0.0433500850106852,10000
rosenbrock,20,0,rawpool_uniform,9874.988720703124,0.08960299753820525,10000
rosenbrock,20,1,rawpool_uniform,9844.492138671874,0.09033542964254017,10000
rosenbrock,20,2,rawpool_uniform,9810.76171875,0.09009126504478014,10000
rosenbrock,20,3,rawpool_uniform,9856.363720703124,0.09021029835702506,10000
rosenbrock,20,4,rawpool_uniform,9923.56845703125,0.09042243070442066,10000
gaussian_ring,20,0,rawpool_uniform,9779.08447265625,0.055479466617539365,10000
gaussian_ring,20,1,rawpool_uniform,9202.591309356689,0.05523275242405852,10000
gaussian_ring,20,2,rawpool_uniform,9807.322216796874,0.05625859390729069,10000
gaussian_ring,20,3,rawpool_uniform,9456.744958496094,0.05433247338398297,10000
gaussian_ring,20,4,rawpool_uniform,9903.91484375,0.0557223229095168,10000
banana,50,0,rawpool_uniform,9032.596959075927,0.08220668252620536,10000
banana,50,1,rawpool_uniform,9196.904467468261,0.08349943706982468,10000
banana,50,2,rawpool_uniform,8692.359205551147,0.08474660158507624,10000
banana,50,3,rawpool_uniform,8936.340141677856,0.08461477231432202,10000
banana,50,4,rawpool_uniform,9496.294727172852,0.08365650619870289,10000
bimodal_gaussian,50,0,rawpool_uniform,9800.367421875,0.04380733030284942,10000
bimodal_gaussian,50,1,rawpool_uniform,9890.8317578125,0.044610116466304445,10000
bimodal_gaussian,50,2,rawpool_uniform,9823.4750390625,0.04414888736762039,10000
bimodal_gaussian,50,3,rawpool_uniform,9895.72572265625,0.04417929752539778,10000
bimodal_gaussian,50,4,rawpool_uniform,9857.35916015625,0.045083233414852666,10000
funnel,50,0,rawpool_uniform,9928.74755859375,0.04498145361481759,10000
funnel,50,1,rawpool_uniform,9840.247734375,0.045100916230681624,10000
funnel,50,2,rawpool_uniform,9838.69529296875,0.04551225894457422,10000
funnel,50,3,rawpool_uniform,9855.6854296875,0.045517461919338996,10000
funnel,50,4,rawpool_uniform,9837.93265625,0.04481951136720214,10000
correlated_gaussian,50,0,rawpool_uniform,9838.72216796875,0.04397839691381514,10000
correlated_gaussian,50,1,rawpool_uniform,9871.3683984375,0.04400305636211584,10000
correlated_gaussian,50,2,rawpool_uniform,9835.68796875,0.043851320006882105,10000
correlated_gaussian,50,3,rawpool_uniform,9827.7334765625,0.044546049290535635,10000
correlated_gaussian,50,4,rawpool_uniform,9863.5208203125,0.04436327736010314,10000
rosenbrock,50,0,rawpool_uniform,9832.35626953125,0.06164544170420125,10000
rosenbrock,50,1,rawpool_uniform,9844.53431640625,0.062530400126759,10000
rosenbrock,50,2,rawpool_uniform,9796.06421875,0.06218313013186799,10000
rosenbrock,50,3,rawpool_uniform,9808.661171875,0.062051399563633994,10000
rosenbrock,50,4,rawpool_uniform,9876.18416015625,0.06202516570293445,10000
