potential_fn,dimension,n,mean_ESS_single,mean_ESS_ens,mean_JS_single,mean_JS_ens,paired_t_ESS_t,paired_t_ESS_p,paired_t_JS_t,paired_t_JS_p,cohen_d_ESS,cohen_d_JS,budget,ablation
banana,20,5,1941.9756616210936,9880.235126953125,0.168521193230784,0.1391719639344082,201.9634928440325,3.6056932759915046e-09,13.50713649715028,0.0001738572654458,90.32081979348212,6.04057383454552,equal_per_member,"{""no_temp"": true}"
banana,50,5,1935.781432617188,9865.26916015625,0.1266235171225963,0.093750789723626,1010.5288095950468,5.753784832452541e-12,18.875913132099267,4.639132311793414e-05,451.922222269537,8.441562812396539,equal_per_member,"{""no_temp"": true}"
bimodal_gaussian,20,5,1942.311640625,9842.523935546877,0.0867557918958236,0.0582399642410155,372.3837437764125,3.120092835961996e-10,25.019969417442407,1.5149321129368531e-05,166.535072956474,11.18926609193892,equal_per_member,"{""no_temp"": true}"
bimodal_gaussian,50,5,1940.4338134765624,9829.479546875,0.0861340130775701,0.0579841898062204,1346.1562547533536,1.8271228919731218e-12,36.87194592586757,3.2302817209352552e-06,602.019378747064,16.489625851275466,equal_per_member,"{""no_temp"": true}"
correlated_gaussian,20,5,1921.192430419922,9813.522695312498,0.0866727887275665,0.0759650150647976,169.82339736396048,7.212083828949401e-09,12.675420808730186,0.0002230964624695,75.94733213442402,5.668617513420731,equal_per_member,"{""no_temp"": true}"
correlated_gaussian,50,5,1939.0858266601565,9862.578640625,0.0856537470048008,0.0685996227930558,585.7024836543418,5.0984075420189206e-11,24.152700325806197,1.743177109698597e-05,261.9341135996545,10.801409112546285,equal_per_member,"{""no_temp"": true}"
funnel,20,5,1931.3563647460935,9897.573896484377,0.0857736349162774,0.0702226492343761,500.0939394705444,9.59253312980518e-11,9.793107269452056,0.0006093507379797,223.6488087520817,4.379609479662782,equal_per_member,"{""no_temp"": true}"
funnel,50,5,1938.612939453125,9836.39553515625,0.0870337562040112,0.0681314264830428,306.18445851672465,6.82633813030088e-10,27.208941667299055,1.0849354604306516e-05,136.9298525770981,12.168200799609108,equal_per_member,"{""no_temp"": true}"
gaussian_ring,20,5,1942.8596166992183,9878.059765625,0.095916026093281,0.067457206741603,523.3570106572112,7.997394051070857e-11,26.52934199911881,1.199893573755844e-05,234.05237045921777,11.8642774755398,equal_per_member,{}
rosenbrock,20,5,1949.0649340820316,9815.740771484376,0.1156793749435116,0.1037287219735747,211.1489165931585,3.0180809432126273e-09,6.713266488880905,0.0025630440630421,94.42866617441364,3.002263289807947,equal_per_member,{}
rosenbrock,50,5,1939.2206337890625,9839.4221171875,0.0977593581128259,0.0836589358349629,463.1266486650692,1.3041833947620284e-10,14.754305447181636,0.0001228264118806,207.11653371592155,6.598322900437891,equal_per_member,{}
