target,dim,rep,variant,n_samples,runtime_s,energy_distance,mmd2,marginal_JS,ess
blr8,8,0,single@2000,2000,27.38,0.006442696075534,0.0043005824881128,0.0921937294343428,1928.453082872096
blr8,8,0,single@10000,10000,37.75,0.0079480427594231,0.0049888962876161,0.0584380003520136,9980.929823395538
blr8,8,0,uniform_pool,10000,137.62,0.0035755631863694,0.0038597401518043,0.0551388265731669,9854.108429549056
blr8,8,0,full_ensemble,10000,137.62,0.0026236793441607,0.0011205640727161,0.0729500655856781,9828.895751512033
blr8,8,1,single@2000,2000,26.47,0.0054323306278909,0.0043522345154269,0.0961166796791846,1931.8823159989888
blr8,8,1,single@10000,10000,38.1,0.0035730434918491,0.003591566824729,0.0571373513853893,9718.906740835351
blr8,8,1,uniform_pool,10000,141.79,0.0029819091418794,0.0017725126721879,0.0506290994873105,9809.752653270218
blr8,8,1,full_ensemble,10000,141.79,0.0011921186253951,0.0014082961502099,0.0700452214168686,9832.86013518011
blr8,8,2,single@2000,2000,26.95,0.006509185139335,0.0033028000217987,0.0930106028427768,1943.073515971363
blr8,8,2,single@10000,10000,37.43,0.0083954729761667,0.0048650977043793,0.0604355384573804,9947.94351081657
blr8,8,2,uniform_pool,10000,143.18,0.0032126456123315,0.0012655287315188,0.0496039119980256,9802.9211048923
blr8,8,2,full_ensemble,10000,143.18,0.0023286881332351,0.0014346050566642,0.0720034298308349,9925.739568088382
hier,10,0,single@2000,2000,30.56,0.0938361889335097,0.0210421153804103,0.1244457416892722,1898.3317774640475
hier,10,0,single@10000,10000,45.73,0.0789884716191475,0.0151975285400691,0.0874625530870661,9878.386200792544
hier,10,0,uniform_pool,10000,161.4,0.0456225398386944,0.0110188878719914,0.078201523671682,9627.00194894768
hier,10,0,full_ensemble,10000,161.4,0.0652888245234302,0.0093214318384542,0.0969155900227799,9971.21344754287
hier,10,1,single@2000,2000,30.5,0.0675860648526689,0.0162400478793283,0.1155046931956537,1947.7640181138845
hier,10,1,single@10000,10000,45.25,0.1024333704726574,0.0164089626813543,0.0918452251221767,9829.645815265172
hier,10,1,uniform_pool,10000,162.6,0.0651849303591318,0.0146473586217668,0.0858810533416069,9929.15302068665
hier,10,1,full_ensemble,10000,162.6,0.0791376826617682,0.0159365298777804,0.1024847684323719,9798.663403769102
