target,dim,rep,variant,JS,pool_ESS,w_min,w_max
banana,20,0,exact_single_10000,0.04424446452955956,,,
banana,20,0,pool_uniform,0.04317946392825107,9802.240812969121,,
banana,20,0,pool_resample_uniform,0.05410890240381229,,,
banana,20,0,pool_memberweight_resample,0.05799108309760993,,0.12673653919477515,0.3517546292618712
banana,20,0,pool_coverage_resample,0.10672434737074035,,,
banana,20,0,pool_full_aggregation,0.11100833409026982,9831.11649192603,,
banana,20,1,exact_single_10000,0.04352722930398804,,,
banana,20,1,pool_uniform,0.04328308203626628,9840.533282845532,,
banana,20,1,pool_resample_uniform,0.05611428583887571,,,
banana,20,1,pool_memberweight_resample,0.056456221298194484,,0.13326907600647064,0.3089473360440337
banana,20,1,pool_coverage_resample,0.09193904006418681,,,
banana,20,1,pool_full_aggregation,0.09302958578492466,9773.898623999043,,
banana,20,2,exact_single_10000,0.04245544010084194,,,
banana,20,2,pool_uniform,0.04275279579945862,9838.464515179938,,
banana,20,2,pool_resample_uniform,0.055195538701470294,,,
banana,20,2,pool_memberweight_resample,0.05752087775495531,,0.13355889256047157,0.3313077778850469
banana,20,2,pool_coverage_resample,0.09340101434287769,,,
banana,20,2,pool_full_aggregation,0.09940710279806136,9824.932071707433,,
banana,20,3,exact_single_10000,0.043064373551176746,,,
banana,20,3,pool_uniform,0.043007765304762885,9829.127361338782,,
banana,20,3,pool_resample_uniform,0.05670889641894724,,,
banana,20,3,pool_memberweight_resample,0.05876737966330705,,0.10861890866129033,0.2958667053992904
banana,20,3,pool_coverage_resample,0.09499477558088222,,,
banana,20,3,pool_full_aggregation,0.09760114695733937,9790.006305545381,,
banana,20,4,exact_single_10000,0.04375388140022819,,,
banana,20,4,pool_uniform,0.04254971651783074,9771.888672704332,,
banana,20,4,pool_resample_uniform,0.05501452466579284,,,
banana,20,4,pool_memberweight_resample,0.05695269832792662,,0.12596861403314763,0.3165783274300555
banana,20,4,pool_coverage_resample,0.1034266162766532,,,
banana,20,4,pool_full_aggregation,0.10857614860860398,9893.507009806284,,
banana,50,0,exact_single_10000,0.04295564173740606,,,
banana,50,0,pool_uniform,0.043741946710297006,9840.377261188381,,
banana,50,0,pool_resample_uniform,0.05599637514325287,,,
banana,50,0,pool_memberweight_resample,0.05814864352109363,,0.10970297170036805,0.2855344556949876
banana,50,0,pool_coverage_resample,0.08060062698071756,,,
banana,50,0,pool_full_aggregation,0.08328725642178199,9888.15578844057,,
banana,50,1,exact_single_10000,0.0434960146701598,,,
banana,50,1,pool_uniform,0.043230741362524895,9793.580321380363,,
banana,50,1,pool_resample_uniform,0.055667878095391934,,,
banana,50,1,pool_memberweight_resample,0.05845404610089891,,0.12315211180512606,0.3568715029570449
banana,50,1,pool_coverage_resample,0.09736667831683621,,,
banana,50,1,pool_full_aggregation,0.10271548908902998,9909.817662103182,,
banana,50,2,exact_single_10000,0.04339760081368806,,,
banana,50,2,pool_uniform,0.04377676548676382,9849.234462349406,,
banana,50,2,pool_resample_uniform,0.056401577098285485,,,
banana,50,2,pool_memberweight_resample,0.057233492751173315,,0.11299114723157339,0.2867357175409766
banana,50,2,pool_coverage_resample,0.0836251786098898,,,
banana,50,2,pool_full_aggregation,0.08616327903478747,9833.484944010437,,
banana,50,3,exact_single_10000,0.04301624573792875,,,
banana,50,3,pool_uniform,0.04388537323209131,9863.494672626766,,
banana,50,3,pool_resample_uniform,0.05738316375930493,,,
banana,50,3,pool_memberweight_resample,0.05851242835250432,,0.13021536834908357,0.33868174043605986
banana,50,3,pool_coverage_resample,0.08475883235514259,,,
banana,50,3,pool_full_aggregation,0.08613998326646845,9818.840701679157,,
banana,50,4,exact_single_10000,0.042910503282955946,,,
banana,50,4,pool_uniform,0.04332785956595063,9855.31311585432,,
banana,50,4,pool_resample_uniform,0.05670606854121812,,,
banana,50,4,pool_memberweight_resample,0.05763406874083541,,0.13860376041770422,0.354490227856126
banana,50,4,pool_coverage_resample,0.08717963650783385,,,
banana,50,4,pool_full_aggregation,0.09413705664611212,9867.983667748658,,
bimodal_gaussian,20,0,exact_single_10000,0.04542125319719578,,,
bimodal_gaussian,20,0,pool_uniform,0.04359468797562643,9887.110818893034,,
bimodal_gaussian,20,0,pool_resample_uniform,0.056383683770454426,,,
bimodal_gaussian,20,0,pool_memberweight_resample,0.05916312908809444,,0.11099639615103675,0.2860920213479755
bimodal_gaussian,20,0,pool_coverage_resample,0.0571119861054469,,,
bimodal_gaussian,20,0,pool_full_aggregation,0.0575790105796562,9926.756199869838,,
bimodal_gaussian,20,1,exact_single_10000,0.04468480761370149,,,
