target,dim,rep,variant,energy_distance
banana,20,0,exact_single_10000,-0.00165358942191407
banana,20,0,pool_uniform,0.0018541385357115914
banana,20,0,pool_resample_uniform,-0.0005478221327681609
banana,20,0,pool_full_aggregation,0.5358953630842604
banana,20,1,exact_single_10000,-0.0010657397092002086
banana,20,1,pool_uniform,-7.476729265665227e-05
banana,20,1,pool_resample_uniform,0.0002767228995201876
banana,20,1,pool_full_aggregation,0.5922313668795427
banana,20,2,exact_single_10000,-0.0008105430836993222
banana,20,2,pool_uniform,-0.00045265034889752087
banana,20,2,pool_resample_uniform,0.0031000955827868992
banana,20,2,pool_full_aggregation,0.7136234321417199
banana,20,3,exact_single_10000,0.003319068257334301
banana,20,3,pool_uniform,0.0011616481594671768
banana,20,3,pool_resample_uniform,0.0005668557272349162
banana,20,3,pool_full_aggregation,0.5138863986338
banana,20,4,exact_single_10000,0.0004931525446529861
banana,20,4,pool_uniform,-0.00010158746170763067
banana,20,4,pool_resample_uniform,-6.217935171370925e-05
banana,20,4,pool_full_aggregation,0.43396960268658713
bimodal_gaussian,20,0,exact_single_10000,-0.0008001151308976162
bimodal_gaussian,20,0,pool_uniform,-0.002166985424968182
bimodal_gaussian,20,0,pool_resample_uniform,0.0022952375976563744
bimodal_gaussian,20,0,pool_full_aggregation,-0.0004198359354061765
bimodal_gaussian,20,1,exact_single_10000,-0.0003423729596274683
bimodal_gaussian,20,1,pool_uniform,-0.0006852322071484451
bimodal_gaussian,20,1,pool_resample_uniform,0.0001528288279883938
bimodal_gaussian,20,1,pool_full_aggregation,0.0010961570038574564
bimodal_gaussian,20,2,exact_single_10000,-0.0011450605932283864
bimodal_gaussian,20,2,pool_uniform,-0.001483287756302687
bimodal_gaussian,20,2,pool_resample_uniform,0.0016229522017541242
bimodal_gaussian,20,2,pool_full_aggregation,0.0012977815147721117
bimodal_gaussian,20,3,exact_single_10000,-0.0011686916091502297
bimodal_gaussian,20,3,pool_uniform,-0.0003889665832099709
bimodal_gaussian,20,3,pool_resample_uniform,0.0012109485566984546
bimodal_gaussian,20,3,pool_full_aggregation,0.0035047669297734174
bimodal_gaussian,20,4,exact_single_10000,-0.0016925579094841936
bimodal_gaussian,20,4,pool_uniform,-0.0015401671313552967
bimodal_gaussian,20,4,pool_resample_uniform,0.0007027785948059417
bimodal_gaussian,20,4,pool_full_aggregation,-0.0018729008168216765
correlated_gaussian,20,0,exact_single_10000,-0.00027761201466436347
correlated_gaussian,20,0,pool_uniform,-7.522819999827846e-05
correlated_gaussian,20,0,pool_resample_uniform,-0.00027292429529435225
correlated_gaussian,20,0,pool_full_aggregation,0.013250762420002005
correlated_gaussian,20,1,exact_single_10000,-0.0002279789324761694
correlated_gaussian,20,1,pool_uniform,-0.0002157563358089476
correlated_gaussian,20,1,pool_resample_uniform,0.0011835867312424142
correlated_gaussian,20,1,pool_full_aggregation,0.0086282244919893
correlated_gaussian,20,2,exact_single_10000,-0.0004915407523675697
correlated_gaussian,20,2,pool_uniform,-0.00018946473085446058
correlated_gaussian,20,2,pool_resample_uniform,-0.000585024856733618
correlated_gaussian,20,2,pool_full_aggregation,0.018394351005560416
correlated_gaussian,20,3,exact_single_10000,0.000553991594690828
correlated_gaussian,20,3,pool_uniform,-0.0015340959387080133
correlated_gaussian,20,3,pool_resample_uniform,-0.0007098448884397257
correlated_gaussian,20,3,pool_full_aggregation,0.022123245670270464
correlated_gaussian,20,4,exact_single_10000,-0.00014631557426003639
correlated_gaussian,20,4,pool_uniform,-0.000577445770754359
correlated_gaussian,20,4,pool_resample_uniform,-0.00016740229554113029
correlated_gaussian,20,4,pool_full_aggregation,0.017915662239302854
funnel,20,0,exact_single_10000,-0.000817269944210608
funnel,20,0,pool_uniform,-0.0008849125897505417
funnel,20,0,pool_resample_uniform,0.0011915735803134098
funnel,20,0,pool_full_aggregation,0.007017482332949854
funnel,20,1,exact_single_10000,0.00012169705402342856
funnel,20,1,pool_uniform,-0.000739360368126718
funnel,20,1,pool_resample_uniform,8.412975039107096e-05
funnel,20,1,pool_full_aggregation,0.004339108654838775
funnel,20,2,exact_single_10000,-0.0001259764681815767
funnel,20,2,pool_uniform,2.0927678409776718e-05
funnel,20,2,pool_resample_uniform,0.0011759769769366102
funnel,20,2,pool_full_aggregation,0.005305997382230032
funnel,20,3,exact_single_10000,0.0018383343840726596
funnel,20,3,pool_uniform,0.0019488808310308414
funnel,20,3,pool_resample_uniform,0.00017728778831926917
funnel,20,3,pool_full_aggregation,0.008861807071644634
funnel,20,4,exact_single_10000,0.00029530401124056027
funnel,20,4,pool_uniform,0.001306903947518201
funnel,20,4,pool_resample_uniform,0.001656793334016804
funnel,20,4,pool_full_aggregation,0.0040802995333537595
gaussian_ring,20,0,exact_single_10000,-0.001132112215593395
gaussian_ring,20,0,pool_uniform,-0.00019333476324590038
gaussian_ring,20,0,pool_resample_uniform,-0.0022054454209712304
gaussian_ring,20,0,pool_full_aggregation,-0.0018290711630033485
gaussian_ring,20,1,exact_single_10000,-0.003588212690273096
gaussian_ring,20,1,pool_uniform,0.0021320064811281014
gaussian_ring,20,1,pool_resample_uniform,0.0007457234865206885
gaussian_ring,20,1,pool_full_aggregation,0.0024274534856800756
gaussian_ring,20,2,exact_single_10000,-0.0013990075274570302
gaussian_ring,20,2,pool_uniform,-0.0008074350369913219
gaussian_ring,20,2,pool_resample_uniform,0.0033274849507591853
gaussian_ring,20,2,pool_full_aggregation,0.0025944117681842016
gaussian_ring,20,3,exact_single_10000,-0.0013258587145905665
gaussian_ring,20,3,pool_uniform,0.005475262783631862
gaussian_ring,20,3,pool_resample_uniform,-0.0010470232941397484
gaussian_ring,20,3,pool_full_aggregation,-0.0005904646998580176
gaussian_ring,20,4,exact_single_10000,-0.0013415925408271079
gaussian_ring,20,4,pool_uniform,-0.0012464067548858537
gaussian_ring,20,4,pool_resample_uniform,0.0013596777576463381
gaussian_ring,20,4,pool_full_aggregation,0.008538864503320198
rosenbrock,20,0,exact_single_10000,-0.0019227608963632292
rosenbrock,20,0,pool_uniform,0.004198379671318975
rosenbrock,20,0,pool_resample_uniform,0.007877132625168315
rosenbrock,20,0,pool_full_aggregation,6.945824274645107
rosenbrock,20,1,exact_single_10000,-0.001805586074761223
rosenbrock,20,1,pool_uniform,-0.004048399742471176
rosenbrock,20,1,pool_resample_uniform,0.0026391602357680455
rosenbrock,20,1,pool_full_aggregation,9.605257355163507
rosenbrock,20,2,exact_single_10000,0.008948129454090292
rosenbrock,20,2,pool_uniform,0.006875637457431694
rosenbrock,20,2,pool_resample_uniform,-0.00298428582802579
rosenbrock,20,2,pool_full_aggregation,4.875970987764772
rosenbrock,20,3,exact_single_10000,3.967977044005977e-05
rosenbrock,20,3,pool_uniform,0.00113319537867973
rosenbrock,20,3,pool_resample_uniform,-0.0008595365664021415
rosenbrock,20,3,pool_full_aggregation,5.542736736309843
rosenbrock,20,4,exact_single_10000,-0.002564626793340352
rosenbrock,20,4,pool_uniform,-0.0009226906189390149
rosenbrock,20,4,pool_resample_uniform,0.000795222055222311
rosenbrock,20,4,pool_full_aggregation,8.275729153020949
