kind,target,dim,N,nbins,rep,JS
curve,correlated_gaussian,20,500,100,0,0.16590799991007904
curve,correlated_gaussian,20,500,100,1,0.16600154117222565
curve,correlated_gaussian,20,500,100,2,0.16611597474391812
curve,correlated_gaussian,20,500,100,3,0.16683291052708885
curve,correlated_gaussian,20,500,100,4,0.16604594119190472
curve,correlated_gaussian,20,500,100,5,0.16583821087848694
curve,bimodal_gaussian,20,500,100,0,0.16206092753541446
curve,bimodal_gaussian,20,500,100,1,0.16853409471105804
curve,bimodal_gaussian,20,500,100,2,0.16711944688362373
curve,bimodal_gaussian,20,500,100,3,0.1655368230640102
curve,bimodal_gaussian,20,500,100,4,0.16811248278142638
curve,bimodal_gaussian,20,500,100,5,0.1665188437801321
curve,funnel,20,500,100,0,0.16694339387652896
curve,funnel,20,500,100,1,0.16450003878428338
curve,funnel,20,500,100,2,0.16197984382726063
curve,funnel,20,500,100,3,0.16436990248936625
curve,funnel,20,500,100,4,0.16794165129664868
curve,funnel,20,500,100,5,0.1667086038978765
curve,correlated_gaussian,20,1000,100,0,0.1166176792111842
curve,correlated_gaussian,20,1000,100,1,0.11967711413904894
curve,correlated_gaussian,20,1000,100,2,0.11866246526485655
curve,correlated_gaussian,20,1000,100,3,0.11762911365672446
curve,correlated_gaussian,20,1000,100,4,0.12004863930048229
curve,correlated_gaussian,20,1000,100,5,0.11798269724829424
curve,bimodal_gaussian,20,1000,100,0,0.12040660391577351
curve,bimodal_gaussian,20,1000,100,1,0.11957206522003534
curve,bimodal_gaussian,20,1000,100,2,0.11958913853388572
curve,bimodal_gaussian,20,1000,100,3,0.116476311766939
curve,bimodal_gaussian,20,1000,100,4,0.1215563640601425
curve,bimodal_gaussian,20,1000,100,5,0.11824540271447778
curve,funnel,20,1000,100,0,0.11916485326569445
curve,funnel,20,1000,100,1,0.11676284779964445
curve,funnel,20,1000,100,2,0.11864345303446508
curve,funnel,20,1000,100,3,0.11902298366915479
curve,funnel,20,1000,100,4,0.11825730438179446
curve,funnel,20,1000,100,5,0.1191160480773185
curve,correlated_gaussian,20,2000,100,0,0.08382168288917527
curve,correlated_gaussian,20,2000,100,1,0.08587424617493969
curve,correlated_gaussian,20,2000,100,2,0.08419290193345763
curve,correlated_gaussian,20,2000,100,3,0.08520412157746844
curve,correlated_gaussian,20,2000,100,4,0.08447851081220097
curve,correlated_gaussian,20,2000,100,5,0.08512602930594032
curve,bimodal_gaussian,20,2000,100,0,0.08403947907287974
curve,bimodal_gaussian,20,2000,100,1,0.08469088065545746
curve,bimodal_gaussian,20,2000,100,2,0.08544995432672221
curve,bimodal_gaussian,20,2000,100,3,0.08584565848802488
curve,bimodal_gaussian,20,2000,100,4,0.0841256099100561
curve,bimodal_gaussian,20,2000,100,5,0.0861566685427066
curve,funnel,20,2000,100,0,0.08622544444222659
