target,M,rep,variant,JS
bimodal_gaussian,2,0,exact_single,0.0620504344422512
bimodal_gaussian,2,0,pool_uniform,0.06268824926205105
bimodal_gaussian,2,0,pool_full_aggregation,0.08406622979233158
bimodal_gaussian,2,1,exact_single,0.0633468687737996
bimodal_gaussian,2,1,pool_uniform,0.062097141928245336
bimodal_gaussian,2,1,pool_full_aggregation,0.08721160486559149
bimodal_gaussian,2,2,exact_single,0.061199326583862436
bimodal_gaussian,2,2,pool_uniform,0.06127920805551055
bimodal_gaussian,2,2,pool_full_aggregation,0.08564941856389782
bimodal_gaussian,2,3,exact_single,0.06079125110018084
bimodal_gaussian,2,3,pool_uniform,0.062226396173154265
bimodal_gaussian,2,3,pool_full_aggregation,0.08475125216070106
bimodal_gaussian,2,4,exact_single,0.06255631615409282
bimodal_gaussian,2,4,pool_uniform,0.06120972420766345
bimodal_gaussian,2,4,pool_full_aggregation,0.08554049620168772
bimodal_gaussian,5,0,exact_single,0.04292280500408878
bimodal_gaussian,5,0,pool_uniform,0.04451209115326745
bimodal_gaussian,5,0,pool_full_aggregation,0.05754336357710445
bimodal_gaussian,5,1,exact_single,0.04421670928027972
bimodal_gaussian,5,1,pool_uniform,0.04392934085639054
bimodal_gaussian,5,1,pool_full_aggregation,0.05824102004946398
bimodal_gaussian,5,2,exact_single,0.04380437745900488
bimodal_gaussian,5,2,pool_uniform,0.04418243820687095
bimodal_gaussian,5,2,pool_full_aggregation,0.05829659895546994
bimodal_gaussian,5,3,exact_single,0.042214788629070514
bimodal_gaussian,5,3,pool_uniform,0.04280422643100366
bimodal_gaussian,5,3,pool_full_aggregation,0.05768123640073332
bimodal_gaussian,5,4,exact_single,0.043263658026902935
bimodal_gaussian,5,4,pool_uniform,0.044658950671013824
bimodal_gaussian,5,4,pool_full_aggregation,0.05848789407239189
bimodal_gaussian,10,0,exact_single,0.035413335357611264
bimodal_gaussian,10,0,pool_uniform,0.035125882033262085
bimodal_gaussian,10,0,pool_full_aggregation,0.04461106779772943
bimodal_gaussian,10,1,exact_single,0.03549206964867037
bimodal_gaussian,10,1,pool_uniform,0.03555095373510746
bimodal_gaussian,10,1,pool_full_aggregation,0.04358716669425592
bimodal_gaussian,10,2,exact_single,0.03562510932461485
bimodal_gaussian,10,2,pool_uniform,0.03506085121211409
bimodal_gaussian,10,2,pool_full_aggregation,0.044151732837037105
bimodal_gaussian,10,3,exact_single,0.03538121620190883
bimodal_gaussian,10,3,pool_uniform,0.035561774251172955
bimodal_gaussian,10,3,pool_full_aggregation,0.04463571031222358
bimodal_gaussian,10,4,exact_single,0.03605730175339418
bimodal_gaussian,10,4,pool_uniform,0.035181286693771685
bimodal_gaussian,10,4,pool_full_aggregation,0.04312951099945596
bimodal_gaussian,20,0,exact_single,0.03044451588150372
bimodal_gaussian,20,0,pool_uniform,0.030838392343807287
bimodal_gaussian,20,0,pool_full_aggregation,0.036267241679902154
bimodal_gaussian,20,1,exact_single,0.030674328160863257
bimodal_gaussian,20,1,pool_uniform,0.030249165320703625
bimodal_gaussian,20,1,pool_full_aggregation,0.03682835525365173
bimodal_gaussian,20,2,exact_single,0.030188062145433393
bimodal_gaussian,20,2,pool_uniform,0.03021707357910685
bimodal_gaussian,20,2,pool_full_aggregation,0.03622424788988457
bimodal_gaussian,20,3,exact_single,0.030737413648007743
bimodal_gaussian,20,3,pool_uniform,0.03071847252374856
bimodal_gaussian,20,3,pool_full_aggregation,0.03615359062786606
bimodal_gaussian,20,4,exact_single,0.03095837361102304
bimodal_gaussian,20,4,pool_uniform,0.03061801928682305
bimodal_gaussian,20,4,pool_full_aggregation,0.03564877095338378
correlated_gaussian,2,0,exact_single,0.06059620734007896
correlated_gaussian,2,0,pool_uniform,0.061105241680498044
correlated_gaussian,2,0,pool_full_aggregation,0.11210545972312716
correlated_gaussian,2,1,exact_single,0.06102394745088234
correlated_gaussian,2,1,pool_uniform,0.0632733169071352
correlated_gaussian,2,1,pool_full_aggregation,0.1085749577786193
correlated_gaussian,2,2,exact_single,0.06264385878783119
correlated_gaussian,2,2,pool_uniform,0.06145443778895894
correlated_gaussian,2,2,pool_full_aggregation,0.11296999230585585
correlated_gaussian,2,3,exact_single,0.06331949926205886
correlated_gaussian,2,3,pool_uniform,0.06219610117183697
correlated_gaussian,2,3,pool_full_aggregation,0.11088653231035857
correlated_gaussian,2,4,exact_single,0.06194366188931301
correlated_gaussian,2,4,pool_uniform,0.06333242603344896
correlated_gaussian,2,4,pool_full_aggregation,0.113374190326062
correlated_gaussian,5,0,exact_single,0.04246684480370133
correlated_gaussian,5,0,pool_uniform,0.04409076628179395
correlated_gaussian,5,0,pool_full_aggregation,0.08208604823227976
correlated_gaussian,5,1,exact_single,0.042753325896662954
correlated_gaussian,5,1,pool_uniform,0.04272142919605555
correlated_gaussian,5,1,pool_full_aggregation,0.07985113591699798
